id	name	name_in_spanish	flag	population	exports	government_type	energy_production
250	France	Francia	🇫🇷	68374591	1052000000000	República semipresidencialista	560.11
254	French Guiana	Guayana Francesa	🇬🇫	0	0	null	0.98
258	French Polynesia	Polinesia Francesa	🇵🇫	0	162000000	null	0.71
260	French Southern Territories	Territorios Australes Franceses	🇹🇫	0	0	null	0
262	Djibouti	Yibuti	🇩🇯	994974	5674000000	República presidencialista	0.2
266	Gabon	Gabón	🇬🇦	2455105	12935000000	República presidencialista	3.19
268	Georgia	Georgia	🇬🇪	4900961	15161000000	República parlamentaria	14.26
270	Gambia	Gambia	🇬🇲	2523327	267377000	República presidencialista	0.51
275	Palestinian Territory, Occupied	Palestina	🇵🇸	0	0	República semipresidencialista	1.02
276	Germany	Alemania	🇩🇪	84119100	2104000000000	República parlamentaria	493
288	Ghana	Ghana	🇬🇭	34589092	25744000000	República presidencialista	24.29
292	Gibraltar	Gibraltar	🇬🇮	29683	202300000	null	0.22
296	Kiribati	Kiribati	🇰🇮	116545	19677000	República parlamentaria mixta	0.04
300	Greece	Grecia	🇬🇷	10461091	106650000000	República parlamentaria	56.98
304	Greenland	Groenlandia	🇬🇱	57751	1147000000	null	0.54
308	Grenada	Granada	🇬🇩	114621	899153000	Monarquía parlamentaria	0.24
312	Guadeloupe	Guadalupe	🇬🇵	0	0	null	1.64
316	Guam	Guam	🇬🇺	169532	186000000	null	1.8
320	Guatemala	Guatemala	🇬🇹	18255216	17308000000	República presidencialista	13.46
324	Guinea	Guinea	🇬🇳	13986179	8898000000	Junta militar	4.05
328	Guyana	Guyana	🇬🇾	794099	11536000000	República semipresidencialista	1.34
332	Haiti	Haití	🇭🇹	11753943	1355000000	República semipresidencialista	1.01
334	Heard Island and McDonald Islands	Islas Heard y McDonald	🇭🇲	0	0	null	0
336	Holy See (Vatican City State)	Ciudad del Vaticano	🇻🇦	1000	0	null	0
340	Honduras	Honduras	🇭🇳	9529188	9701000000	República presidencialista	11.71
344	Hong Kong	Hong Kong	🇭🇰	7297821	673305000000	null	37.64
348	Hungary	Hungría	🇭🇺	9855745	172484000000	República parlamentaria	37.98
352	Iceland	Islandia	🇮🇸	364036	13490000000	República parlamentaria	20.12
356	India	India	🇮🇳	1409128296	773224000000	República parlamentaria	2030.2
360	Indonesia	Indonesia	🇮🇩	281562465	292790000000	República presidencialista	371.54
364	Iran, Islamic Republic of	Irán	🇮🇷	88386937	110882000000	República presidencialista	395.79
368	Iraq	Irak	🇮🇶	42083436	127079000000	República parlamentaria	150.29
372	Ireland	Irlanda	🇮🇪	5233461	731814000000	República parlamentaria	30.96
376	Israel	Israel	🇮🇱	9402617	156165000000	República parlamentaria	74.41
380	Italy	Italia	🇮🇹	60964931	793589000000	República parlamentaria	267.51
384	Côte d'Ivoire	Costa de Marfil	🇨🇮	29981758	17211000000	República presidencialista	11.13
388	Jamaica	Jamaica	🇯🇲	2823713	6424000000	Monarquía constitucional	4.49
392	Japan	Japón	🇯🇵	123201945	920737000000	Monarquía parlamentaria	1016.39
398	Kazakhstan	Kazajistán	🇰🇿	20260006	90167000000	República presidencialista	118.51
400	Jordan	Jordania	🇯🇴	11174024	20335000000	Monarquía constitucional	22.57
404	Kenya	Kenia	🇰🇪	58246378	13859000000	República presidencialista	12.85
408	Korea, Democratic People's Republic of	Corea del Norte	🇰🇵	26298666	222000000	Unipartidista	26.55
410	Korea, Republic of	Corea del Sur	🇰🇷	52081799	769534000000	República presidencialista	625.38
414	Kuwait	Kuwait	🇰🇼	3138355	95476000000	Monarquía constitucional	87.66
417	Kyrgyzstan	Kirguistán	🇰🇬	6172101	3628000000	República presidencialista	16.23
418	Lao People's Democratic Republic	Laos	🇱🇦	7953556	8604000000	Unipartidista	52.3
422	Lebanon	Líbano	🇱🇧	5364482	11770000000	República parlamentaria	4.52
426	Lesotho	Lesoto	🇱🇸	2227548	886278000	Monarquía parlamentaria	0.48
428	Latvia	Letonia	🇱🇻	1801246	27947000000	República parlamentaria	6.32
430	Liberia	Liberia	🇱🇷	5437249	1220000000	República presidencialista	0.39
434	Libya	Libia	🇱🇾	7361263	32380000000	Gobierno provisional	35.11
438	Liechtenstein	Liechtenstein	🇱🇮	40272	3217000000	Monarquía constitucional	
440	Lithuania	Lituania	🇱🇹	2628186	61101000000	República semipresidencialista	7.3
442	Luxembourg	Luxemburgo	🇱🇺	671254	176133000000	Monarquía parlamentaria	1.5
446	Macao	Macao	🇲🇴	644426	20985000000	null	0.49
450	Madagascar	Madagascar	🇲🇬	29452714	4689000000	Junta militar	2.64
454	Malawi	Malaui	🇲🇼	21763309	1487000000	República presidencialista	1.83
458	Malaysia	Malasia	🇲🇾	34564810	312857000000	Monarquía parlamentaria	198.22
462	Maldives	Maldivas	🇲🇻	388858	5096000000	República presidencialista	0.85
466	Mali	Malí	🇲🇱	21990607	5855000000	Junta militar	4.36
470	Malta	Malta	🇲🇹	469730	25417000000	República parlamentaria	2.19
474	Martinique	Martinica	🇲🇶	0	0	null	1.49
478	Mauritania	Mauritania	🇲🇷	4328040	4132000000	República presidencialista	1.64
480	Mauritius	Mauricio	🇲🇺	1310504	5499000000	República parlamentaria	3.27
484	Mexico	México	🇲🇽	130739927	649312000000	República presidencialista	355.18
492	Monaco	Mónaco	🇲🇨	31813	964600000	Monarquía constitucional	0
496	Mongolia	Mongolia	🇲🇳	3281676	15501000000	República semipresidencialista	8.38
498	Moldova, Republic of	Moldavia	🇲🇩	3599528	5865000000	República parlamentaria	5.21
499	Montenegro	Montenegro	🇲🇪	599849	3775000000	República parlamentaria	3.7
500	Montserrat	Montserrat	🇲🇸	5468	11900000	null	0.01
504	Morocco	Marruecos	🇲🇦	37387585	58556000000	Monarquía constitucional	43.88
508	Mozambique	Mozambique	🇲🇿	33350954	9289000000	República presidencialista	19.56
512	Oman	Omán	🇴🇲	3901992	69701000000	Monarquía absoluta	43.35
516	Namibia	Namibia	🇳🇦	2803660	5641000000	República semipresidencialista	1.89
520	Nauru	Nauru	🇳🇷	9892	187000000	República parlamentaria mixta	0.04
524	Nepal	Nepal	🇳🇵	31122387	2999000000	República parlamentaria	10.7
528	Netherlands	Países Bajos	🇳🇱	17772378	949983000000	Monarquía constitucional	122.51
531	Curaçao	Curazao	🇨🇼	153289	2049000000	null	0
533	Aruba	Aruba	🇦🇼	125063	2853000000	null	1
534	Sint Maarten (Dutch part)	Sint Maarten	🇸🇽	32996	1372000000	null	0
535	Bonaire, Sint Eustatius and Saba	Caribe Neerlandés	🇧🇶	0	0	null	0
540	New Caledonia	Nueva Caledonia	🇳🇨	304167	1920000000	null	3.09
548	Vanuatu	Vanuatu	🇻🇺	318007	152087000	República parlamentaria	0.08
554	New Zealand	Nueva Zelanda	🇳🇿	5161211	59043000000	Monarquía parlamentaria	44.46
558	Nicaragua	Nicaragua	🇳🇮	6676948	8250000000	República presidencialista	4.37
562	Niger	Níger	🇳🇪	26342784	1376000000	Junta militar	0.8
566	Nigeria	Nigeria	🇳🇬	236747130	60261000000	República presidencialista	40.13
570	Niue	Niue	🇳🇺	2000	5680000	Monarquía constitucional	0
574	Norfolk Island	Isla Norfolk	🇳🇫	1748	0	null	0
578	Norway	Noruega	🇳🇴	5509733	228625000000	Monarquía parlamentaria	156.12
580	Northern Mariana Islands	Islas Marianas del Norte	🇲🇵	51118	128000000	null	0
581	United States Minor Outlying Islands	Las islas Ultramarinas Menores de los Estados Unidos	🇺🇲	0	0	null	0
583	Micronesia, Federated States of	Micronesia	🇫🇲	99603	179000000	República parlamentaria mixta	0
584	Marshall Islands	Islas Marshall	🇲🇭	82011	130016000	República parlamentaria mixta	0
585	Palau	Palaos	🇵🇼	21864	24480000	República presidencialista	0
586	Pakistan	Pakistán	🇵🇰	252363571	36442000000	República parlamentaria	182.1
591	Panama	Panamá	🇵🇦	4470241	36569000000	República presidencialista	12.87
598	Papua New Guinea	Papúa Nueva Guinea	🇵🇬	10046233	11625000000	Monarquía parlamentaria	4.73
600	Paraguay	Paraguay	🇵🇾	7522549	18711000000	República presidencialista	44.24
604	Peru	Perú	🇵🇪	32600249	73326000000	República semipresidencialista	63.85
608	Philippines	Filipinas	🇵🇭	118277063	103601000000	República presidencialista	125.86
612	Pitcairn	Islas Pitcairn	🇵🇳	50	0	null	0
616	Poland	Polonia	🇵🇱	38746310	469264000000	República semipresidencialista	171.05
620	Portugal	Portugal	🇵🇹	10207177	136589000000	República semipresidencialista	47.32
